Date,Facebook Ad Views,Facebook Ad Clicks,Facebook Ad Conversions,Facebook Ad Cost Per Day,Instagram Ad Views,Instagram Ad Clicks,Instagram Ad Conversions,Instagram Ad Cost Per Day
01-01-2025,19270,2216,687,489,10752,736,86,502
02-01-2025,12860,1741,617,421,16213,1056,163,608
03-01-2025,17390,2760,764,345,12569,1062,210,526
04-01-2025,17191,2221,787,363,14353,1015,196,633
05-01-2025,23964,3699,1153,429,10353,716,74,521
06-01-2025,23284,2935,1118,609,15437,787,91,340
07-01-2025,17734,2145,702,662,12799,814,92,495
08-01-2025,18265,2533,1002,492,8686,566,97,367
09-01-2025,12466,1746,594,606,16476,1086,197,563
10-01-2025,16426,2494,707,480,12811,937,113,301
11-01-2025,17578,2000,746,591,16954,1209,182,660
12-01-2025,23636,3071,926,670,13346,991,182,424
13-01-2025,23363,3138,948,581,13043,1051,182,409
14-01-2025,23111,3376,860,328,10428,860,132,385
15-01-2025,20322,2085,692,448,13126,1033,164,419
16-01-2025,13685,2185,721,566,16220,1430,215,426
17-01-2025,12769,1636,496,595,17098,867,112,554
18-01-2025,22583,2637,1012,310,15813,914,143,482
19-01-2025,18949,2899,780,463,17645,887,149,315
20-01-2025,14433,2090,625,412,11356,861,161,361
21-01-2025,17311,2721,811,486,16707,1435,234,668
22-01-2025,17051,2043,539,594,15266,911,160,457
23-01-2025,18420,2452,789,531,14540,1266,146,567
24-01-2025,13184,1771,625,526,8038,421,61,334
25-01-2025,16555,2629,859,609,11342,991,100,566
26-01-2025,15385,1608,439,397,17078,1094,136,363
27-01-2025,24309,2876,881,354,10844,586,101,349
28-01-2025,18396,2050,513,410,9098,631,125,554
29-01-2025,23096,2681,1019,451,15027,905,99,448
30-01-2025,20666,2668,700,545,9823,603,84,624
31-01-2025,21274,2603,883,368,11155,694,124,603
01-02-2025,14558,1800,716,611,11093,910,109,575
02-02-2025,19849,2990,988,588,13658,977,151,656
03-02-2025,14047,2188,850,549,11778,735,127,471
04-02-2025,14747,1537,438,335,10896,810,130,500
05-02-2025,21167,2382,867,538,8988,706,83,692
06-02-2025,21998,3085,1017,447,12116,737,99,623
07-02-2025,12189,1481,530,526,14446,961,171,334
08-02-2025,14734,1698,440,543,12179,668,103,515
